2261.308216,2.52E-30,0.101,0.69,-0.002633,6063.3872,31,33
2261.324277,2.43E-28,0.107,0.68,-0.002463,4804.8914,21,23
2261.333072,8.18E-26,0.088,0.74,-0.003035,3831.1586,61,63
2261.345851,1.96E-28,0.103,0.68,-0.002366,4762.1268,29,29
2261.361845,2.98E-24,0.07,0.72,-0.004052,3222.6432,113,115
2261.367985,2.00E-30,0.103,0.68,-0.002366,5709.3778,29,29
2261.373681,2.04E-23,0.065,0.67,-0.00451,2889.6286,149,151
2261.374197,5.09E-27,0.069,0.72,-0.002295,2619.8075,119,117
2261.37879,1.08E-30,0.087,0.74,-0.003143,5304.0864,65,65
2261.379609,1.67E-29,0.108,0.68,-0.00188,5253.6876,21,19
2261.384296,8.80E-30,0.116,0.69,-0.001527,5123.3787,11,9
2261.385486,1.47E-30,0.103,0.68,-0.002163,5901.78,29,27
2261.390733,2.21E-26,0.069,0.71,-0.003655,2814.7452,123,121
2261.394368,8.95E-27,0.09,0.73,-0.002951,4258.7781,55,57
2261.397471,2.78E-28,0.097,0.71,-0.002745,5051.3127,39,41
2261.404292,1.33E-29,0.109,0.68,-0.002382,5510.1219,17,19
2261.40432,4.09E-28,0.07,0.72,-0.002716,3879.1157,113,115
2261.413188,1.39E-27,0.104,0.68,-0.002536,4487.3698,25,27
2261.415514,1.02E-29,0.078,0.75,-0.003496,3326.031,87,87
2261.419537,8.80E-30,0.111,0.68,-0.001739,5367.9733,17,15
2261.420211,1.33E-29,0.093,0.72,-0.002874,5057.0958,51,51
2261.420318,1.75E-26,0.079,0.75,-0.003415,4360.701,83,85
2261.42249,8.19E-26,0.084,0.74,-0.003192,3860.1549,71,73
2261.427917,2.22E-28,0.104,0.68,-0.002314,4751.0644,27,27
2261.434388,2.97E-30,0.107,0.68,-0.001951,5710.6855,23,21
2261.450056,2.27E-30,0.104,0.68,-0.002314,5698.4354,27,27
2261.451826,4.14E-30,0.08,0.75,-0.003407,5203.431,81,81
2261.46518,4.53E-30,0.104,0.68,-0.002093,5641.4076,27,25
2261.472088,1.24E-28,0.099,0.7,-0.00269,5194.6386,35,37
2261.474089,2.81E-27,0.086,0.74,-0.003095,4683.6354,65,67
2261.475555,3.09E-29,0.069,0.72,-0.002295,4015.1693,119,117
2261.476296,1.26E-29,0.101,0.69,-0.002302,5443.9346,33,31
2261.479524,2.55E-28,0.111,0.68,-0.002338,4705.0276,15,17
2261.48126,5.32E-29,0.116,0.69,-0.00219,4950.096,9,11
